id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6890,Black Balloon,Goo Goo Dolls,58,0.32799999999999996,0.691,1,-6.154,1,0.0294,0.0674,3.3600000000000004e-05,0.247,0.298,104.242
6891,I Wanna Love You Forever,Jessica Simpson,50,0.59,0.6659999999999999,4,-4.047,0,0.0244,0.156,0.0,0.136,0.0743,104.042
6892,Big Deal,LeAnn Rimes,50,0.6829999999999999,0.5670000000000001,5,-5.888,0,0.0455,0.47600000000000003,0.0,0.193,0.469,129.93
6893,Waiting For Tonight,Jennifer Lopez,59,0.6940000000000001,0.941,10,-6.108,0,0.0408,0.00224,0.0826,0.109,0.8540000000000001,125.014
6894,When I Said I Do,Clint Black,52,0.507,0.41100000000000003,10,-8.657,1,0.0276,0.308,0.0,0.106,0.184,102.806
6895,Dancin',Guy,58,0.7509999999999999,0.727,10,-9.789,0,0.0304,0.0442,0.0333,0.1,0.28,119.98299999999999
6896,Stay The Night,IMx,63,0.595,0.746,8,-3.115,1,0.0398,0.134,0.0,0.0863,0.491,127.96
6897,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi,62,0.946,0.857,1,-4.498,0,0.159,0.000917,0.0,0.0525,0.882,99.88
6898,Caught Out There,Kelis,45,0.848,0.691,7,-6.775,1,0.09300000000000001,0.0512,0.008029999999999999,0.0723,0.922,92.99600000000001
6899,Smoke Rings In The Dark,Gary Allan,59,0.528,0.6920000000000001,1,-6.3389999999999995,1,0.0327,0.307,4.91e-05,0.141,0.635,82.788
6900,Deep Inside,Mary J. Blige,67,0.312,0.0576,0,-22.194000000000003,1,0.0383,0.9159999999999999,0.743,0.109,0.0873,31.084
6901,Breathe And Stop,Q-Tip,54,0.8809999999999999,0.83,7,-4.563,1,0.172,0.0144,0.00771,0.0626,0.765,98.79299999999999
6902,Where My Girls At?,702,61,0.7190000000000001,0.736,6,-7.517,1,0.052000000000000005,0.0373,0.0028,0.193,0.757,92.179
6903,"Tricky, Tricky",Lou Bega,49,0.586,0.544,0,-12.165999999999999,1,0.19399999999999998,0.318,0.00464,0.2,0.51,119.984
6904,Home To You,John Michael Montgomery,66,0.32799999999999996,0.242,7,-9.923,1,0.0455,0.895,0.0,0.146,0.258,77.02600000000001
